Action, Loc y/x, Chrg Station, Floor Type, Dirt Present, North, East, South, West, Battery, Dirt Capacity
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,50.0,50
SWEEP, 6/5, Yes, BARE_FLOOR, Yes,OBSTICLE,OPEN,OBSTICLE,OPEN,49.0,49
CHECK_SENSOR, 6/5, Yes, BARE_FLOOR, No,OBSTICLE,OPEN,OBSTICLE,OPEN,49.0,49
MOVE, 6/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,48.0,49
CHECK_SENSOR, 6/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,48.0,49
SWEEP, 6/4, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,47.0,48
CHECK_SENSOR, 6/4, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,47.0,48
MOVE, 6/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,46.0,48
CHECK_SENSOR, 6/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,46.0,48
SWEEP, 6/3, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,45.0,47
CHECK_SENSOR, 6/3, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,45.0,47
MOVE, 6/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,44.0,47
CHECK_SENSOR, 6/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,44.0,47
SWEEP, 6/2, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,43.0,46
CHECK_SENSOR, 6/2, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,43.0,46
MOVE, 6/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,42.0,46
CHECK_SENSOR, 6/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,42.0,46
SWEEP, 6/1, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OPEN,41.0,45
CHECK_SENSOR, 6/1, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OPEN,41.0,45
MOVE, 6/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,40.0,45
CHECK_SENSOR, 6/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,40.0,45
SWEEP, 6/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,39.0,44
CHECK_SENSOR, 6/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,39.0,44
MOVE, 5/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,38.0,44
CHECK_SENSOR, 5/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,38.0,44
SWEEP, 5/0, No, BARE_FLOOR, Yes,OPEN,OPEN,OPEN,OBSTICLE,37.0,43
CHECK_SENSOR, 5/0, No, BARE_FLOOR, No,OPEN,OPEN,OPEN,OBSTICLE,37.0,43
